      localhos   PRTAB(31DEC16)    1555               05-MAR-2018   21:49:22               Page    1
CALSFEB27   .ELWA  .   1  Disk= 2    SN Table version   2
Title: AIPS UV DATA FILE SOLUTION TABLE
 
Created by      FRING on 05-MAR-2018 13:24:25
Last written by FRING on 05-MAR-2018 15:14:49
Ncol 26  Nrow 2222    Sort cols:
    Table has     8 keyword-value pairs:
   NO_ANT   =           52
   NO_POL   =            2
   NO_IF    =            1
   NO_NODES =            0
   MGMOD    =  1.0000000000000D+00
   APPLIED  =  F
   REVISION =           11
   SNORIGIN =            0
   Table can be written as a FITS ASCII table
 
COL. NO.       1           2          3          4         5        6        7         8        9        10       11       12
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
     114  05:06:58.5  00:01:04.0      3          4         1        1       0.000      0       0.000    0.000    0.000   0.8211
     115  05:06:58.5  00:01:04.0      3          5         1        1       0.000      0       0.000    0.000    0.000  -0.1208
     116  05:06:58.5  00:01:04.0      3          6         1        1       0.000      0       0.000    0.000    0.000   0.9990
     117  05:06:58.5  00:01:04.0      3          7         1        1       0.000      0       0.000    0.000    0.000  -0.4915
     118  05:06:58.5  00:01:04.0      3          8         1        1       0.000      0       0.000    0.000    0.000  -0.5193
     119  05:06:58.5  00:01:04.0      3          9         1        1       0.000      0       0.000    0.000    0.000  -0.9993
     120  05:06:58.5  00:01:04.0      3         10         1        1       0.000      0       0.000    0.000    0.000   0.9883
     121  05:06:58.5  00:01:04.0      3         11         1        1       0.000      0       0.000    0.000    0.000  -0.3287
     122  05:06:58.5  00:01:04.0      3         12         1        1       0.000      0       0.000    0.000    0.000  -0.9631
     123  05:06:58.5  00:01:04.0      3         14         1        1       0.000      0       0.000    0.000    0.000  -0.9837
     124  05:06:58.5  00:01:04.0      3         18         1        1       0.000      0       0.000    0.000    0.000   0.7241
     125  05:06:58.5  00:01:04.0      3         19         1        1       0.000      0       0.000    0.000    0.000   0.2736
     126  05:06:58.5  00:01:04.0      3         20         1        1       0.000      0       0.000    0.000    0.000   0.3449
     127  05:06:58.5  00:01:04.0      3         23         1        1       0.000      0       0.000    0.000    0.000   0.7850
     128  05:06:58.5  00:01:04.0      3         24         1        1       0.000      0       0.000    0.000    0.000  -0.9359
     129  05:06:58.5  00:01:04.0      3         25         1        1       0.000      0       0.000    0.000    0.000  -0.7841
     130  05:06:58.5  00:01:04.0      3         27         1        1       0.000      0       0.000    0.000    0.000  -0.2284
     131  05:06:58.5  00:01:04.0      3         51         1        1       0.000      0       0.000    0.000    0.000   1.0000
     132  05:06:58.5  00:01:04.0      3         52         1        1       0.000      0       0.000    0.000    0.000   0.0714
     133  05:08:03.4  00:01:04.0      3          1         1        1       0.000      0       0.000    0.000    0.000  -0.0151
     134  05:08:03.4  00:01:04.0      3          2         1        1       0.000      0       0.000    0.000    0.000  -0.3856
     135  05:08:03.4  00:01:04.0      3          3         1        1       0.000      0       0.000    0.000    0.000   0.8939
     136  05:08:03.4  00:01:04.0      3          4         1        1       0.000      0       0.000    0.000    0.000   0.6364
     137  05:08:03.4  00:01:04.0      3          5         1        1       0.000      0       0.000    0.000    0.000   0.8761
     138  05:08:03.4  00:01:04.0      3          6         1        1       0.000      0       0.000    0.000    0.000   0.9688
     139  05:08:03.4  00:01:04.0      3          7         1        1       0.000      0       0.000    0.000    0.000  -0.3443
     140  05:08:03.4  00:01:04.0      3          8         1        1       0.000      0       0.000    0.000    0.000  -0.9635
     141  05:08:03.4  00:01:04.0      3          9         1        1       0.000      0       0.000    0.000    0.000  -0.9241
     142  05:08:03.4  00:01:04.0      3         10         1        1       0.000      0       0.000    0.000    0.000   0.1391
     143  05:08:03.4  00:01:04.0      3         11         1        1       0.000      0       0.000    0.000    0.000   0.8005
     144  05:08:03.4  00:01:04.0      3         12         1        1       0.000      0       0.000    0.000    0.000  -0.8517
     145  05:08:03.4  00:01:04.0      3         14         1        1       0.000      0       0.000    0.000    0.000  -0.9038
     146  05:08:03.4  00:01:04.0      3         18         1        1       0.000      0       0.000    0.000    0.000   0.7525
     147  05:08:03.4  00:01:04.0      3         19         1        1       0.000      0       0.000    0.000    0.000  -0.4697
      localhos   PRTAB(31DEC16)    1555               05-MAR-2018   21:49:22               Page    4
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
     148  05:08:03.4  00:01:04.0      3         20         1        1       0.000      0       0.000    0.000    0.000  -0.3428
     149  05:08:03.4  00:01:04.0      3         23         1        1       0.000      0       0.000    0.000    0.000   0.5554
     150  05:08:03.4  00:01:04.0      3         24         1        1       0.000      0       0.000    0.000    0.000   0.8291
     151  05:08:03.4  00:01:04.0      3         25         1        1       0.000      0       0.000    0.000    0.000  -0.9720
     152  05:08:03.4  00:01:04.0      3         27         1        1       0.000      0       0.000    0.000    0.000  -0.5920
     153  05:08:03.4  00:01:04.0      3         51         1        1       0.000      0       0.000    0.000    0.000   1.0000
     154  05:08:03.4  00:01:04.0      3         52         1        1       0.000      0       0.000    0.000    0.000  -0.0111
     155  05:09:08.5  00:01:04.0      3          1         1        1       0.000      0       0.000    0.000    0.000  -0.8646
     156  05:09:08.5  00:01:04.0      3          2         1        1       0.000      0       0.000    0.000    0.000   0.5672
     157  05:09:08.5  00:01:04.0      3          3         1        1       0.000      0       0.000    0.000    0.000   0.9623
     158  05:09:08.5  00:01:04.0      3          4         1        1       0.000      0       0.000    0.000    0.000   0.9943
     159  05:09:08.5  00:01:04.0      3          5         1        1       0.000      0       0.000    0.000    0.000   0.9197
     160  05:09:08.5  00:01:04.0      3          6         1        1       0.000      0       0.000    0.000    0.000   0.8410
     161  05:09:08.5  00:01:04.0      3          7         1        1       0.000      0       0.000    0.000    0.000  -0.7800
     162  05:09:08.5  00:01:04.0      3          8         1        1       0.000      0       0.000    0.000    0.000   0.9924
     163  05:09:08.5  00:01:04.0      3          9         1        1       0.000      0       0.000    0.000    0.000  -0.4174
     164  05:09:08.5  00:01:04.0      3         10         1        1       0.000      0       0.000    0.000    0.000  -0.6516
     165  05:09:08.5  00:01:04.0      3         11         1        1       0.000      0       0.000    0.000    0.000   0.9180
     166  05:09:08.5  00:01:04.0      3         12         1        1       0.000      0       0.000    0.000    0.000  -0.8810
     167  05:09:08.5  00:01:04.0      3         14         1        1       0.000      0       0.000    0.000    0.000  -0.6793
     168  05:09:08.5  00:01:04.0      3         18         1        1       0.000      0       0.000    0.000    0.000   0.9901
     169  05:09:08.5  00:01:04.0      3         19         1        1       0.000      0       0.000    0.000    0.000  -0.9181
     170  05:09:08.5  00:01:04.0      3         20         1        1       0.000      0       0.000    0.000    0.000  -0.6187
     171  05:09:08.5  00:01:04.0      3         23         1        1       0.000      0       0.000    0.000    0.000   0.9995
     172  05:09:08.5  00:01:04.0      3         24         1        1       0.000      0       0.000    0.000    0.000  -0.4307
     173  05:09:08.5  00:01:04.0      3         25         1        1       0.000      0       0.000    0.000    0.000  -1.0000
     174  05:09:08.5  00:01:04.0      3         27         1        1       0.000      0       0.000    0.000    0.000   0.5084
     175  05:09:08.5  00:01:04.0      3         51         1        1       0.000      0       0.000    0.000    0.000   1.0000
     176  05:09:08.5  00:01:04.0      3         52         1        1       0.000      0       0.000    0.000    0.000   0.5801
     177  05:17:50.5  00:01:04.0      3          1         1        1       0.000      0       0.000    0.000    0.000   0.5916
     178  05:17:50.5  00:01:04.0      3          2         1        1       0.000      0       0.000    0.000    0.000   0.9647
     179  05:17:50.5  00:01:04.0      3          3         1        1       0.000      0       0.000    0.000    0.000  -0.9361
     180  05:17:50.5  00:01:04.0      3          4         1        1       0.000      0       0.000    0.000    0.000  -0.9201
     181  05:17:50.5  00:01:04.0      3          5         1        1       0.000      0       0.000    0.000    0.000  -0.7631
     182  05:17:50.5  00:01:04.0      3          6         1        1       0.000      0       0.000    0.000    0.000  -0.3871
     183  05:17:50.5  00:01:04.0      3          7         1        1       0.000      0       0.000    0.000    0.000   0.9996
     184  05:17:50.5  00:01:04.0      3          8         1        1       0.000      0       0.000    0.000    0.000  -0.9184
     185  05:17:50.5  00:01:04.0      3          9         1        1       0.000      0       0.000    0.000    0.000   0.5088
     186  05:17:50.5  00:01:04.0      3         10         1        1       0.000      0       0.000    0.000    0.000  -0.7414
     187  05:17:50.5  00:01:04.0      3         11         1        1       0.000      0       0.000    0.000    0.000   0.9076
     188  05:17:50.5  00:01:04.0      3         12         1        1       0.000      0       0.000    0.000    0.000  -0.8363
