      localhos   PRTAB(31DEC16)    1555               06-MAR-2018   15:03:40               Page    1
CALSFEB27   .ELWA  .   1  Disk= 2    SN Table version   3
Title: AIPS UV DATA FILE SOLUTION TABLE
 
Created by      FRING on 06-MAR-2018 14:40:37
Last written by FRING on 06-MAR-2018 14:48:31
Ncol 26  Nrow 176    Sort cols:
    Table has     8 keyword-value pairs:
   NO_ANT   =           52
   NO_POL   =            2
   NO_IF    =            1
   NO_NODES =            0
   MGMOD    =  1.0000000000000D+00
   APPLIED  =  F
   REVISION =           11
   SNORIGIN =            0
   Table can be written as a FITS ASCII table
 
COL. NO.       1           2          3          4         5        6        7         8        9        10       11       12
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
     148  04:44:07.4  00:01:04.0      2         20         1        1       0.000      0       0.000    0.000    0.000   0.9784
     149  04:44:07.4  00:01:04.0      2         23         1        1       0.000      0       0.000    0.000    0.000   0.9975
     150  04:44:07.4  00:01:04.0      2         24         1        1       0.000      0       0.000    0.000    0.000  -0.0893
     151  04:44:07.4  00:01:04.0      2         25         1        1       0.000      0       0.000    0.000    0.000  -0.1070
     152  04:44:07.4  00:01:04.0      2         27         1        1       0.000      0       0.000    0.000    0.000  -0.7608
     153  04:44:07.4  00:01:04.0      2         51         1        1       0.000      0       0.000    0.000    0.000   1.0000
     154  04:44:07.4  00:01:04.0      2         52         1        1       0.000      0       0.000    0.000    0.000     INDE
     155  04:45:12.4  00:01:04.0      2          1         1        1       0.000      0       0.000    0.000    0.000   0.4461
     156  04:45:12.4  00:01:04.0      2          2         1        1       0.000      0       0.000    0.000    0.000   0.5791
     157  04:45:12.4  00:01:04.0      2          3         1        1       0.000      0       0.000    0.000    0.000  -0.9015
     158  04:45:12.4  00:01:04.0      2          4         1        1       0.000      0       0.000    0.000    0.000  -0.2523
     159  04:45:12.4  00:01:04.0      2          5         1        1       0.000      0       0.000    0.000    0.000  -0.5452
     160  04:45:12.4  00:01:04.0      2          6         1        1       0.000      0       0.000    0.000    0.000  -0.7864
     161  04:45:12.4  00:01:04.0      2          7         1        1       0.000      0       0.000    0.000    0.000   0.6463
     162  04:45:12.4  00:01:04.0      2          8         1        1       0.000      0       0.000    0.000    0.000   0.3811
     163  04:45:12.4  00:01:04.0      2          9         1        1       0.000      0       0.000    0.000    0.000   0.4646
     164  04:45:12.4  00:01:04.0      2         10         1        1       0.000      0       0.000    0.000    0.000  -0.9612
     165  04:45:12.4  00:01:04.0      2         11         1        1       0.000      0       0.000    0.000    0.000  -0.5402
     166  04:45:12.4  00:01:04.0      2         12         1        1       0.000      0       0.000    0.000    0.000   0.6142
     167  04:45:12.4  00:01:04.0      2         14         1        1       0.000      0       0.000    0.000    0.000   0.9715
     168  04:45:12.4  00:01:04.0      2         18         1        1       0.000      0       0.000    0.000    0.000  -0.3742
     169  04:45:12.4  00:01:04.0      2         19         1        1       0.000      0       0.000    0.000    0.000   0.1450
     170  04:45:12.4  00:01:04.0      2         20         1        1       0.000      0       0.000    0.000    0.000  -0.9809
     171  04:45:12.4  00:01:04.0      2         23         1        1       0.000      0       0.000    0.000    0.000  -0.8733
     172  04:45:12.4  00:01:04.0      2         24         1        1       0.000      0       0.000    0.000    0.000  -0.3631
     173  04:45:12.4  00:01:04.0      2         25         1        1       0.000      0       0.000    0.000    0.000  -0.1617
     174  04:45:12.4  00:01:04.0      2         27         1        1       0.000      0       0.000    0.000    0.000  -0.1070
     175  04:45:12.4  00:01:04.0      2         51         1        1       0.000      0       0.000    0.000    0.000   1.0000
     176  04:45:12.4  00:01:04.0      2         52         1        1       0.000      0       0.000    0.000    0.000     INDE
      localhos   PRTAB(31DEC16)    1555               06-MAR-2018   15:03:40               Page    5
COL. NO.     13        14          15        16       17        18       19       20       21      22        23          24
     ROW  IMAG1    DELAY 1     RATE 1      WEIGHT  REFANT 1  MBDELAY  DISP 2   DDISP 2  REAL2    IMAG2   DELAY 2     RATE 2
  NUMBER           SECONDS     SEC/SEC                       SECONDS  SEC/M**2 S/S/M**2                  SECONDS     SEC/SEC
 
       1  -0.9996  -6.778E-08  -2.567E-11  167.60     51       0.000    0.000    0.000  -0.4506  -0.893  -7.337E-08  -2.445E-11
       2   0.6754  -4.357E-08   1.781E-11  222.90     51       0.000    0.000    0.000  -0.0501   0.999  -1.154E-08   2.701E-11
       3   0.4492  -5.776E-08  -3.261E-11  183.26     51       0.000    0.000    0.000   0.9910   0.134  -7.621E-08  -3.471E-11
       4  -0.0042  -5.527E-08  -7.393E-12  214.67     51       0.000    0.000    0.000   0.8818  -0.472  -7.423E-08  -4.183E-12
       5   0.9382  -5.265E-08   1.883E-11  195.76     51       0.000    0.000    0.000  -0.9836   0.180  -5.895E-11   2.257E-11
       6  -0.8305  -5.750E-08  -1.187E-11  196.91     51       0.000    0.000    0.000   0.9404   0.340  -6.663E-08  -1.687E-11
       7   0.6140  -4.330E-08   5.476E-12  196.68     51       0.000    0.000    0.000   0.6861  -0.727  -7.993E-08   3.724E-14
